"cluster","climate.cat"
"80201_1","Munumbwe"
"80201_10","Munumbwe"
"80201_11","Munumbwe"
"80201_12","Munumbwe"
"80201_2","Munumbwe"
"80201_3","Munumbwe"
"80201_4","Munumbwe"
"80201_5","Munumbwe"
"80201_6","Munumbwe"
"80201_7","Munumbwe"
"80201_8","Munumbwe"
"80201_9","Munumbwe"
"80202_1","Sinamalima"
"80202_10","Sinamalima"
"80202_2","Sinamalima"
"80202_3","Sinamalima"
"80202_4","Sinamalima"
"80202_5","Sinamalima"
"80202_6","Sinamalima"
"80202_7","Sinamalima"
"80202_8","Sinamalima"
"80202_9","Sinamalima"
"80203_1","Sinamalima"
"80203_10","Sinamalima"
"80203_2","Sinamalima"
"80203_3","Sinamalima"
"80203_4","Sinamalima"
"80203_6","Sinamalima"
"80203_7","Sinamalima"
"80203_8","Sinamalima"
"80203_9","Sinamalima"
"80204_1","Munumbwe"
"80204_10","Munumbwe"
"80204_2","Munumbwe"
"80204_3","Munumbwe"
"80204_4","Sinamalima"
"80204_5","Sinamalima"
"80204_6","Munumbwe"
"80204_7","Sinamalima"
"80204_8","Sinamalima"
"80204_9","Munumbwe"
"80206_1","Gwembe"
"80206_2","Gwembe"
"80206_3","Gwembe"
"80206_4","Gwembe"
"80206_5","Gwembe"
"80206_6","Gwembe"
"80206_7","Gwembe"
"80207_1","Lukonde"
"80207_10","Lukonde"
"80207_2","Lukonde"
"80207_3","Lukonde"
"80207_4","Lukonde"
"80207_5","Sinamalima"
"80207_6","Lukonde"
"80207_7","Lukonde"
"80207_8","Lukonde"
"80207_9","Lukonde"
"80208_1","Sinamalima"
"80208_10","Sinamalima"
"80208_2","Sinamalima"
"80208_3","Sinamalima"
"80208_4","Sinamalima"
"80208_5","Sinamalima"
"80208_6","Sinamalima"
"80208_7","Sinamalima"
"80208_8","Sinamalima"
"80208_9","Lukonde"
"80209_1","Lukonde"
"80209_10","Munumbwe"
"80209_2","Munumbwe"
"80209_3","Munumbwe"
"80209_4","Munumbwe"
"80209_5","Munumbwe"
"80209_6","Sinamalima"
"80209_7","Sinamalima"
"80209_8","Sinamalima"
"80209_9","Munumbwe"
"80210_1","Sinamalima"
"80210_10","Munumbwe"
"80210_11","Munumbwe"
"80210_12","Sinamalima"
"80210_2","Munumbwe"
"80210_3","Sinamalima"
"80210_4","Sinamalima"
"80210_5","Munumbwe"
"80210_6","Munumbwe"
"80210_7","Munumbwe"
"80210_8","Munumbwe"
"80210_9","Sinamalima"
"80211_1","Sinamalima"
"80211_2","Sinamalima"
"80211_3","Sinamalima"
"80211_4","Sinamalima"
"80211_5","Sinamalima"
"80211_6","Lukonde"
"80211_7","Sinamalima"
"80211_8","Sinamalima"
"81102_1","Sinamalima"
"81102_2","Sinamalima"
"81102_3","Sinamalima"
"81102_4","Sinamalima"
"81102_5","Sinamalima"
"81102_6","Sinamalima"
"81102_7","Sinamalima"
"81102_8","Sinamalima"
"81102_9","Sinamalima"
"81111_1","Sinamalima"
"81111_2","Sinamalima"
"81111_3","Sinamalima"
"81111_4","Sinamalima"
"81111_5","Sinamalima"
"81111_6","Sinamalima"
"81111_7","Sinamalima"
"81111_8","Sinamalima"
